url,zpid,date,event,posting_is_rental,price,price_change_rate,price_per_squarefoot,source,source_image
https://www.zillow.com/homedetails/312-Sheridan-Rd-Oak-Pt-TX-75068/69706241_zpid/,69706241,2022-06-01T00:00:00.000Z,Price change,TRUE,2299,-0.042083333,1,"Coldwell Banker Apex, Realtors",https://photos.zillowstatic.com/fp/e5487a481445c969b1633ccc26d30695-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/833-Mist-Flower-Dr-Little-Elm-TX-75068/182375568_zpid/,182375568,2022-04-19T00:00:00.000Z,Listed for rent,TRUE,3100,0.033333333,1,"Coldwell Banker Apex, Realtors",https://photos.zillowstatic.com/fp/e5487a481445c969b1633ccc26d30695-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/2209-Miramar-Dr-Little-Elm-TX-75068/302680761_zpid/,302680761,2021-12-15T00:00:00.000Z,Price change,TRUE,2175,-0.011363636,1,RE/MAX International,https://photos.zillowstatic.com/fp/cd5a1d62fa18a5e74fcc3dc6aed90a23-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/12826-W-Sweetwater-Ave-El-Mirage-AZ-85335/58628249_zpid/,58628249,2022-11-11T00:00:00.000Z,Listed for rent,TRUE,1695,0.547945205,2,RE/MAX International,https://photos.zillowstatic.com/fp/cd5a1d62fa18a5e74fcc3dc6aed90a23-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/4354-E-Toledo-St-Gilbert-AZ-85295/240302952_zpid/,240302952,2021-07-10T00:00:00.000Z,Price change,TRUE,2350,-0.020833333,1,HomeSmart,https://photos.zillowstatic.com/fp/c20ab5c964376c1a06b05086c67643ad-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/1712-N-Sage-Ave-Landers-CA-92285/17507489_zpid/,17507489,2024-07-16T00:00:00.000Z,Price change,TRUE,3000,-0.0625,2,CLAW,https://photos.zillowstatic.com/fp/4f3066f1f5cec0da94c227e529c8b89a-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/1148-Bent-Rail-Cir-Colton-CA-92324/17337224_zpid/,17337224,2024-06-23T00:00:00.000Z,Price change,TRUE,3300,-0.057142857,2,CLAW,https://photos.zillowstatic.com/fp/4f3066f1f5cec0da94c227e529c8b89a-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/581-Chipmunk-Ln-Big-Bear-Lake-CA-92315/17382664_zpid/,17382664,2021-08-19T00:00:00.000Z,Listed for rent,TRUE,2995,0.30217391304347824,1,Big Bear AOR,https://photos.zillowstatic.com/fp/fdf3b8f764bc302843d5765bb4eac113-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/1712-N-Sage-Ave-Landers-CA-92285/17507489_zpid/,17507489,2024-01-24T00:00:00.000Z,Price change,TRUE,3200,-0.098591549,2,CLAW,https://photos.zillowstatic.com/fp/4f3066f1f5cec0da94c227e529c8b89a-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/1148-Bent-Rail-Cir-Colton-CA-92324/17337224_zpid/,17337224,2024-07-02T00:00:00.000Z,Price change,TRUE,2995,-0.092424242,2,CLAW,https://photos.zillowstatic.com/fp/4f3066f1f5cec0da94c227e529c8b89a-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/4545-Rusk-St-Houston-TX-77023/27750415_zpid/,27750415,2024-09-30T00:00:00.000Z,Listed for rent,TRUE,2400,-0.076567911,1,HAR,https://photos.zillowstatic.com/fp/d7ca2feac029409ea31352e4cf1c9a70-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/4545-Rusk-St-Houston-TX-77023/27750415_zpid/,27750415,2024-09-24T00:00:00.000Z,Price change,TRUE,2599,-0.019245283,1,HAR,https://photos.zillowstatic.com/fp/d7ca2feac029409ea31352e4cf1c9a70-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/4545-Rusk-St-Houston-TX-77023/27750415_zpid/,27750415,2024-06-07T00:00:00.000Z,Listed for rent,TRUE,2900,0.035714286,1,HAR,https://photos.zillowstatic.com/fp/d7ca2feac029409ea31352e4cf1c9a70-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/2911-Blodgett-St-Houston-TX-77004/121103907_zpid/,121103907,2024-07-01T00:00:00.000Z,Listed for rent,TRUE,2500,0.13636363636363635,1,HAR,https://photos.zillowstatic.com/fp/d7ca2feac029409ea31352e4cf1c9a70-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/304-Eado-Park-Cir-Houston-TX-77020/126277698_zpid/,126277698,2024-07-13T00:00:00.000Z,Price change,TRUE,2950,-0.048387097,1,HAR,https://photos.zillowstatic.com/fp/d7ca2feac029409ea31352e4cf1c9a70-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/304-Eado-Park-Cir-Houston-TX-77020/126277698_zpid/,126277698,2024-05-09T00:00:00.000Z,Price change,TRUE,3100,-0.060606061,2,HAR,https://photos.zillowstatic.com/fp/d7ca2feac029409ea31352e4cf1c9a70-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/2805-Blodgett-St-D-Houston-TX-77004/118399226_zpid/,118399226,2023-11-19T00:00:00.000Z,Price change,TRUE,3050,-0.089552239,2,HAR,https://photos.zillowstatic.com/fp/d7ca2feac029409ea31352e4cf1c9a70-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/608-Middle-St-B-Houston-TX-77003/2082958208_zpid/,2082958208,2023-12-14T00:00:00.000Z,Listed for rent,TRUE,3500,0.16666666666666666,2,HAR,https://photos.zillowstatic.com/fp/d7ca2feac029409ea31352e4cf1c9a70-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/4001-Dallas-St-A-Houston-TX-77023/89634897_zpid/,89634897,2024-01-13T00:00:00.000Z,Listed for rent,TRUE,3500,0.5909090909090909,2,HAR,https://photos.zillowstatic.com/fp/d7ca2feac029409ea31352e4cf1c9a70-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/202-Sylvester-Rd-Houston-TX-77009/27792694_zpid/,27792694,2024-05-13T00:00:00.000Z,Price change,TRUE,1750,-0.125,2,HAR,https://photos.zillowstatic.com/fp/d7ca2feac029409ea31352e4cf1c9a70-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/202-Sylvester-Rd-Houston-TX-77009/27792694_zpid/,27792694,2023-04-01T00:00:00.000Z,Price change,TRUE,1800,-0.052631579,2,HAR,https://photos.zillowstatic.com/fp/d7ca2feac029409ea31352e4cf1c9a70-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/202-Sylvester-Rd-Houston-TX-77009/27792694_zpid/,27792694,2023-02-28T00:00:00.000Z,Price change,TRUE,1950,-0.025,2,HAR,https://photos.zillowstatic.com/fp/d7ca2feac029409ea31352e4cf1c9a70-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/4106-McKinney-St-Houston-TX-77023/80524325_zpid/,80524325,2024-03-01T00:00:00.000Z,Listed for rent,TRUE,1625,0.015625,1,HAR,https://photos.zillowstatic.com/fp/d7ca2feac029409ea31352e4cf1c9a70-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/1513-Spring-St-A-Houston-TX-77007/123234527_zpid/,123234527,2024-06-24T00:00:00.000Z,Price change,TRUE,3250,-0.029850746,1,HAR,https://photos.zillowstatic.com/fp/d7ca2feac029409ea31352e4cf1c9a70-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/1709-Tuam-St-Houston-TX-77004/55473278_zpid/,55473278,2023-08-31T00:00:00.000Z,Price change,TRUE,3900,0.21875,2,HAR,https://photos.zillowstatic.com/fp/d7ca2feac029409ea31352e4cf1c9a70-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/1709-Tuam-St-Houston-TX-77004/55473278_zpid/,55473278,2023-07-24T00:00:00.000Z,Listed for rent,TRUE,3200,0.33611691022964507,1,HAR,https://photos.zillowstatic.com/fp/d7ca2feac029409ea31352e4cf1c9a70-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/1401-Edmundson-St-Houston-TX-77003/27769856_zpid/,27769856,2024-06-29T00:00:00.000Z,Listed for rent,TRUE,1750,-0.054054054,1,HAR,https://photos.zillowstatic.com/fp/d7ca2feac029409ea31352e4cf1c9a70-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/2816-Rusk-St-Houston-TX-77003/80569816_zpid/,80569816,2024-04-14T00:00:00.000Z,Price change,TRUE,2750,0.018518518518518517,1,HAR,https://photos.zillowstatic.com/fp/d7ca2feac029409ea31352e4cf1c9a70-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/2816-Rusk-St-Houston-TX-77003/80569816_zpid/,80569816,2024-01-23T00:00:00.000Z,Price change,TRUE,2700,-0.035714286,1,HAR,https://photos.zillowstatic.com/fp/d7ca2feac029409ea31352e4cf1c9a70-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/2816-Rusk-St-Houston-TX-77003/80569816_zpid/,80569816,2023-12-17T00:00:00.000Z,Listed for rent,TRUE,2800,0.076923077,1,HAR,https://photos.zillowstatic.com/fp/d7ca2feac029409ea31352e4cf1c9a70-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/502-Tabor-St-Houston-TX-77009/121107385_zpid/,121107385,2024-06-29T00:00:00.000Z,Price change,TRUE,3250,-0.044117647,2,HAR,https://photos.zillowstatic.com/fp/d7ca2feac029409ea31352e4cf1c9a70-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/502-Tabor-St-Houston-TX-77009/121107385_zpid/,121107385,2024-05-30T00:00:00.000Z,Listed for rent,TRUE,3400,-0.081081081,2,HAR,https://photos.zillowstatic.com/fp/d7ca2feac029409ea31352e4cf1c9a70-zillow_web_logo_inf_11.jpg
