City,Current Value,Predicted Value,Net Profit,ROI
Merced,"449,650","481,102","31,452",6%
Modesto,"508,316","536,360","28,044",5%
Sacramento,"621,333","651,005","29,672",4%
Bakersfield,"383,300","402,324","19,024",4%
Oxnard,"992,000","1,025,839","33,839",3%
