RegionID,SizeRank,RegionName,RegionType,StateName,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023,9/30/2023,10/31/2023,11/30/2023,12/31/2023,1/31/2024,2/29/2024,3/31/2024,4/30/2024,5/31/2024,6/30/2024,7/31/2024,8/31/2024,9/30/2024,10/31/2024,11/30/2024,12/31/2024
394515,305,"Dalton, GA",msa,GA,168267,168233,168900,170567,170567,163267,159967,158333,164817,165650,166167,164650,165450,166567,169933,173300,175000,173333,172633,172633,173600,172617,170917,171583,173233,177333,181100,191133,200400,211333,218000,224483,231450,236117,235133,231500,225150,221733,225367,233717,239967,239267,240900,245567,247967,247967,244933,246567,247267,253950,262317,268317,274967,276633,278267,272967,262967,254667,251667,254967,264800,275100,288133,293617,294950,293183,292867,292567,293000,294633,298267,299600,299600,299600,303233,309900,317417,320450,313817,304667,298000,297667
394423,360,"Brunswick, GA",msa,GA,341667,343300,343300,347415,354082,362412,366113,371147,372150,369300,360933,357417,361783,371483,377150,379150,379150,380967,384600,384600,386117,388483,388483,386167,380167,380467,384633,391133,394483,392650,381483,369800,358133,349467,346133,342967,345633,347300,348933,349933,353283,365317,373650,378667,373300,374933,361600,347967,322833,324467,331467,346600,349933,348250,353117,353117,354700,346500,342867,340467,343800,348133,350600,358117,366617,376583,378250,377400,382467,385283,385300,381117,383983,401900,424417,447917,446667,455150,453150,454817,446300,446467
394762,379,"LaGrange, GA",msa,GA,141467,140633,143267,147967,151300,150667,149333,148583,149250,150458,154508,162675,169800,174833,175317,176583,176583,176583,174617,174583,172567,169933,168283,168283,171283,172967,178750,192417,202733,203617,201917,194767,191100,180767,179233,184917,190583,195917,193900,190267,189033,199067,210567,219800,213100,203526,190042,186709,189600,199750,202767,201250,202950,208267,209933,208267,215967,224333,226000,220000,221633,228300,238283,244967,244967,244950,245800,250783,250783,243283,239967,236667,236633,226600,219917,217450,229150,238000,247163,249647,250780,245783
395038,401,"Rome, GA",msa,GA,163267,164950,171400,177733,181083,177967,171600,169933,171633,172083,170733,168520,169737,172987,180167,186532,194598,197932,198233,197933,194600,192933,193267,198967,205667,208983,219950,229917,237350,234050,223233,212150,201817,195000,193667,203667,214633,219600,215583,208950,208966,201650,201633,198300,193267,192767,199117,212480,217980,219947,223250,230383,236900,234683,232383,224650,223567,220383,219050,220717,222400,229950,241583,254933,263283,264983,263317,260000,255000,251633,249133,244467,244467,251633,259467,262167,259133,259300,259633,261333,263000,265000
394682,449,"Hinesville, GA",msa,GA,160433,156967,156483,156800,159267,159900,159900,159933,161600,163267,166567,166600,166633,166082,166747,166863,164648,162283,160467,161567,165233,168599,171466,171133,172800,174133,176963,178221,177554,178058,176800,176600,176600,179933,184933,190633,194799,198166,200833,207150,212117,212733,208917,207283,211667,218217,227882,227882,227998,226667,233333,238000,238300,239950,243583,245617,246933,243833,246467,247500,253300,258217,263383,267050,268833,271299,274632,276300,276333,275000,273333,271316,269637,270737,272754,274433,276333,277333,277333,277667,278983,282317
395126,453,"Statesboro, GA",msa,GA,167050,167533,168950,168883,168983,167900,169567,168233,171250,172350,174017,172633,171600,174900,178933,181467,178133,173800,171267,174283,178267,179933,179617,179267,182600,189433,195450,198717,198883,194567,194000,194300,198633,195933,189117,189750,194750,204683,207717,212717,210450,207417,203783,204633,208000,210667,215417,218583,217917,228167,237333,249000,247333,246650,256450,264450,264450,260100,258733,272917,280800,292500,296633,305632,312066,309433,303733,302300,309967,318333,316333,316333,313000,316650,322065,330365,351215,358462,360812,346645,342817,343833
753893,477,"Jefferson, GA",msa,GA,259333,267500,277417,284117,282450,281600,276517,273033,268067,266450,274933,286267,294600,297633,297933,297967,295767,295767,295767,294933,291600,290917,289250,288867,287850,290550,291653,294653,296953,298587,294287,290953,290267,293141,293141,293508,293667,300350,311350,,338150,341817,350117,356633,366633,368333,374500,372833,373833,376000,386617,402267,413900,414783,406433,399767,396583,389933,384967,384967,393317,400133,405483,411800,416650,419650,419967,424117,427417,427450,426600,427967,427967,433167,438833,446817,448133,445800,442783,437933,435750,432417
394540,511,"Dublin, GA",msa,GA,144633,144633,144933,138267,138617,141950,146617,155800,163833,172500,172500,168633,168450,169283,172483,168833,168167,164133,162933,158750,158750,160267,164750,162117,158967,155983,161633,169967,175647,173413,169079,168443,167327,163977,158583,163950,159467,155317,146650,143317,144167,148667,160783,167117,172783,174500,177917,178083,182567,189150,197483,197667,197967,191300,191300,189521,193855,195855,197167,196150,199467,213117,246467,276483,293000,274633,255433,234083,222450,218317,217317,215650,209817,210833,217475,219975,221608,219967,224966,223416,228383,225033
394432,553,"Calhoun, GA",msa,GA,178283,179917,186583,196567,199567,199567,201267,201300,198900,194800,196767,201350,207083,205117,201800,197667,199667,197467,194933,188267,187050,185217,185183,183733,188900,197267,204967,211650,216617,223183,226500,233200,242433,246767,245583,235783,229783,222600,231600,239933,246466,241467,237833,227500,225833,217833,226733,230033,241700,243267,246600,250750,260750,269100,273283,274983,274133,265800,258800,253483,261783,268783,274933,274967,276633,278172,279805,279805,279950,278317,278150,281500,289800,299633,311100,319550,323883,322383,313933,306567,298933,293933
395216,563,"Waycross, GA",msa,GA,129900,129900,129900,129900,131600,133267,138267,142433,147133,146108,145275,144242,146633,149967,150967,150967,148967,149300,150033,150333,150333,149600,151300,151150,151450,150600,150750,149683,145517,141383,145483,152650,159817,160150,159666,159966,158300,161600,166267,170917,170283,168950,173433,180433,188433,194267,197600,195967,195967,194033,197517,194033,192633,192633,205467,212133,211983,202333,196333,196650,196817,199783,201450,208250,214950,221600,221450,214750,205564,201414,198080,195300,188300,188000,191633,201283,204767,204700,199717,201567,203483,204817
395122,576,"St. Marys, GA",msa,GA,226600,229900,229933,231300,234333,237633,239633,238267,234933,231567,228600,227300,223983,221650,221317,224633,228267,229900,233233,236583,243250,246283,244600,237967,231300,229483,236150,250633,257483,257450,249933,249900,256350,259050,257883,250800,246458,247625,251592,257017,257050,248750,250667,257300,262283,254600,247517,247533,240383,230650,225800,229967,240117,246633,250783,254117,252417,253267,256600,261633,284117,303817,322117,320467,313117,306383,302183,299833,302813,302846,302846,299933,299600,303100,311467,326783,337450,337450,337467,335000,343000,344633
394861,588,"Milledgeville, GA",msa,GA,192467,194133,192467,191933,191967,191300,191633,190600,192900,192567,192233,190900,190900,193933,203600,211600,219933,221633,229967,233267,237600,237300,235333,232483,229300,231267,238083,241267,239300,,217667,208000,204667,202817,213817,228816,245666,249416,250917,259583,277983,296150,296150,288500,282150,266483,263983,263983,274650,284650,307167,331950,348933,342917,334800,334483,337150,336817,336650,340800,356800,368050,384717,390383,389450,366117,343117,306633,286667,274967,278400,271733,269267,280650,305650,312817,299333,286667,284483,293117,300550,300733
394538,596,"Douglas, GA",msa,GA,123233,123233,130350,137050,140417,141300,139133,136967,133500,134817,136983,142450,148283,153283,154950,153267,148267,142967,139233,139817,140117,140825,141875,143575,146467,148133,149800,156117,161400,168033,166883,164967,159867,158200,154867,153300,153267,158267,167967,187000,,218150,217483,217450,219950,229683,230077,231760,215360,220000,229667,249333,252333,250817,249133,250783,253967,254133,247467,236967,229233,227250,239483,257367,273033,272950,265783,264117,262800,267483,269133,269950,270800,264150,260000,255750,260717,262383,254933,244933,239900,239900
394883,642,"Moultrie, GA",msa,GA,167550,166117,164767,163267,160300,158167,157833,158750,158833,158133,157783,158167,162500,170750,176583,181617,182617,186783,190100,191583,193017,191333,191000,186233,185933,181300,180333,182300,192300,199933,200767,194917,190767,188267,197417,214900,228233,233900,233900,234667,239000,237667,235267,228633,239967,249133,253633,250300,255283,251600,251600,255450,269300,270150,266983,262650,263500,262000,269967,278267,289900,296567,299900,296567,298267,302300,309000,307308,305808,302442,302433,278250,261617,249133,,285467,299983,296667,292000,283167,280833,277667
394500,644,"Cornelia, GA",msa,GA,253133,266467,275133,273950,276300,282966,290999,289499,286000,284333,279500,284566,288083,303083,310850,312333,303150,285450,279083,273778,274322,270988,272128,276617,280783,288950,292767,301967,303796,313279,311604,310008,306208,306550,309800,312800,312467,319167,311167,309500,299500,296633,288283,281933,275267,265283,261617,259650,269650,263817,262450,262450,273283,286317,287800,284450,274750,270733,273167,277925,288758,302692,318783,339633,348267,349117,347300,355666,368999,368166,352500,335833,335583,347900,356200,354917,357433,367133,377967,380266,377933,371266
395155,646,"Thomasville, GA",msa,GA,199167,202500,205833,203233,199900,196575,198175,201508,201500,199900,203233,206567,209600,206267,206283,208283,214950,216717,218200,217900,216117,212633,213633,218333,223633,222933,220583,218783,225150,229167,237333,240967,244600,249750,249750,259750,252417,254117,245450,251300,249600,248267,244917,234933,231600,226583,219900,219567,219567,231267,231600,229967,234633,241300,249600,254933,261600,264633,259600,259300,256300,259633,262967,291267,316967,332300,322000,302900,287650,286317,293083,303333,304833,308133,305633,307133,304000,309667,309667,309167,302333,299300
394448,675,"Cedartown, GA",msa,GA,137933,141567,155142,163492,168342,166433,164417,157900,152933,149967,150000,151983,153617,153100,151117,153400,157217,165533,167267,170600,172283,174933,173300,169933,164933,161733,159767,161433,167117,169100,167133,164617,164600,168267,171633,183983,193650,195283,184633,176633,180817,194150,202467,204650,202983,209483,218150,230150,238667,249333,259000,263667,261000,254300,253767,249100,245633,244667,249633,248133,243050,241083,241050,251283,260767,263283,256633,252450,256600,262100,263133,267833,270650,277950,282617,283967,277300,267933,266583,269933,272450,270783
395158,688,"Tifton, GA",msa,GA,151800,160500,164500,170333,170333,164500,155650,148983,148450,148633,150600,154450,164450,174483,177250,173667,171967,181050,188267,192450,190750,187417,184100,178467,181500,185083,197333,204333,215583,217633,219300,210883,205583,197216,191633,183300,180650,188983,201467,207450,204083,194933,192033,194567,206067,214000,216983,215967,226717,232867,242183,242000,238700,238267,237700,243100,239567,237217,235483,237300,237983,240983,241233,244233,249050,256133,261450,261616,265127,267557,269320,264160,262487,269040,280673,287100,292100,295433,296567,293233,288267,286467
395191,758,"Vidalia, GA",msa,GA,151250,153833,153983,152283,149917,148267,144933,143267,145017,151683,157050,161950,161633,161117,156100,152450,150117,153150,155483,155483,153283,153250,154933,156300,166317,167950,170783,165767,179933,187267,192267,187283,178267,168300,159950,166600,169933,174633,172667,174483,177817,185650,198833,199133,196533,198200,219900,241483,243950,237283,228133,228750,228417,229083,225500,227467,234467,254117,254150,259633,249650,244067,230250,237750,250817,261633,269133,264950,258133,242300,245333,244633,239283,231950,236950,245600,254100,257133,262833,265833,271167,270500
394324,779,"Americus, GA",msa,GA,118633,121117,123250,126283,127633,127233,125900,127817,133217,141517,143233,143233,141233,143767,145100,143767,141233,139917,141250,141283,147117,154067,161851,164201,162367,161617,160084,161967,162717,,138750,132450,139116,140117,144967,150000,146167,135601,125585,135718,137617,139117,132317,141983,150500,158983,153150,151150,144467,141300,139783,143150,153150,167967,177933,184600,180783,193817,186300,180300,163467,175650,188983,205733,222400,230917,227983,215800,209967,212483,215000,225500,216300,209133,205283,221983,242467,245817,246633,241467,245600,257783
394725,819,"Jesup, GA",msa,GA,137217,138850,139900,139900,140233,139267,137633,136633,139883,139883,139883,140117,148267,159633,168617,170800,169133,170667,174333,181333,180000,187567,187233,188567,180667,171333,166667,167667,166333,165633,160267,168267,177267,192967,203300,205300,201933,205933,224508,235358,241325,234117,233300,228333,223000,221333,221300,218950,216600,214633,231633,247283,263267,262783,257117,248133,245267,245633,245550,241250,237217,245633,250450,260967,260783,263933,261950,258800,256650,252483,248300,247483,247483,253317,260817,262450,260467,264383,273917,284917,281817,277483
394356,823,"Bainbridge, GA",msa,GA,158633,158267,160267,163300,166633,166450,168117,168117,171600,173233,173267,171300,169483,171150,173967,172300,171433,172250,176433,177967,180633,181617,187283,185483,185467,179133,177050,178717,183550,188100,196383,203050,,227833,236967,226800,216800,207800,199600,189083,189083,206617,225383,221483,213983,199067,192667,185667,182333,195933,211250,233067,251217,277717,289533,286417,268233,261267,259300,256833,260000,256133,255967,255467,263967,274967,280967,281667,280000,275800,274100,263767,252933,250883,247850,253000,250083,253117,251300,259033,267700,277717
395154,843,"Thomaston, GA",msa,GA,118467,115133,117600,119633,121200,119067,118900,122317,132483,142950,146267,144600,138633,138650,138650,144633,145067,143733,143583,141500,141750,138550,138517,136267,134600,137267,140100,150133,156650,164450,162750,160733,160267,153633,146500,136650,139617,147617,161300,174967,183600,188917,208617,211950,204633,181600,182967,199600,209950,207383,200417,195517,197567,196233,193967,194817,194817,194150,189150,184117,179933,182917,179583,191217,196533,214017,212417,205750,197467,195467,198800,203800,199109,194109,193259,210767,224133,229150,228267,232433,235767,235467
395159,848,"Toccoa, GA",msa,GA,201650,211650,221833,226300,225788,229205,229238,219750,208133,202867,199867,195150,186750,192650,197367,202367,191433,182617,174600,179600,194846,202862,205979,196083,191333,184916,182400,187816,194117,191867,189017,185183,184433,175783,172983,175133,191267,198233,206667,220700,237400,248333,242333,232300,222967,212967,207167,207500,212833,212000,213000,203000,205500,207167,212100,214600,211600,214983,212983,219483,225833,241500,248300,260300,263300,269833,263667,248633,230967,213950,214400,215233,218917,218167,220167,223000,233000,237833,242817,241383,242217,245567
395138,868,"Summerville, GA",msa,GA,121169,121852,122502,125293,128276,129267,127633,126483,126000,128083,132067,136033,138917,140750,137450,135783,131600,129933,124083,116417,114683,115517,119850,121167,122633,123400,123650,125150,,158583,158667,,126300,123267,124467,125800,129983,133817,143817,154667,169500,182833,188633,193767,194067,209188,207522,204205,188250,183283,172967,174483,184467,208783,220617,217300,204966,194950,197283,207117,218783,210567,195717,189083,201300,214150,215483,210800,197950,185783,191633,219967,242433,238267,211617,193300,184933,185617,186967,191967,193383,193867
